seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,cost_to_close_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures
20260509,strong_static_calibrated,13,longrun_eval,receipt_family_burst,8,6,7500,4,20014,2,0,0,2,8,1695,103227,[],0,0,0
20260509,strong_static_calibrated,14,longrun_eval,safe_expression_burst,8,5,6250,6,18350,3,0,0,3,8,1611,87434,[],0,0,0
20260509,strong_static_calibrated,15,longrun_eval,recovery,8,5,6250,6,21862,3,0,0,3,8,1803,120617,[],0,0,0
20260509,strong_static_calibrated,16,longrun_eval,schema_drift,8,6,7500,4,16929,2,0,0,2,8,1578,73561,[],0,0,0
20260509,strong_static_calibrated,17,longrun_eval,validator_burst,8,6,7500,4,19013,2,0,0,2,8,1629,93869,[],0,0,0
20260509,strong_static_calibrated,18,longrun_eval,context_budget_burst,8,5,6250,6,23292,3,0,0,3,8,1835,134603,[],0,0,0
20260509,strong_static_calibrated,19,longrun_eval,receipt_family_burst,8,6,7500,4,17931,2,0,0,2,8,1711,82253,[],0,0,0
20260509,strong_static_calibrated,20,longrun_eval,safe_expression_burst,8,6,7500,4,18433,2,0,0,2,8,1615,88230,[],0,0,0
20260510,oasg_adaptive_from_strong,4,longrun_eval,schema_drift,8,4,5000,8,16639,4,0,0,4,8,1533,71101,[],0,0,0
20260510,oasg_adaptive_from_strong,5,longrun_eval,validator_burst,8,6,7500,4,16801,2,0,0,2,8,1622,71811,[],0,0,0
20260510,oasg_adaptive_from_strong,6,longrun_eval,context_budget_burst,8,6,7500,4,17205,2,0,0,2,8,1622,75847,[],0,0,0
20260510,oasg_adaptive_from_strong,7,longrun_eval,receipt_family_burst,8,5,6250,6,21342,3,0,0,3,8,1794,115519,[],0,0,0
20260510,oasg_adaptive_from_strong,8,longrun_eval,safe_expression_burst,8,6,7500,4,19492,2,0,0,2,8,1696,97998,[],0,0,0
20260510,oasg_adaptive_from_strong,9,longrun_eval,recovery,8,5,6250,6,18563,3,0,0,3,8,1615,89529,[],0,0,0
20260510,oasg_adaptive_from_strong,10,longrun_eval,schema_drift,8,6,7500,4,18202,2,0,0,2,8,1667,85380,[],0,0,0
20260510,oasg_adaptive_from_strong,11,longrun_eval,validator_burst,8,6,7500,4,18535,2,0,0,2,8,1623,89156,[],0,0,0
20260510,oasg_adaptive_from_strong,12,longrun_eval,context_budget_burst,8,6,7500,4,17993,2,0,0,2,8,1617,83778,[],0,0,0
20260510,oasg_adaptive_from_strong,13,longrun_eval,receipt_family_burst,8,6,7500,4,17629,2,0,0,2,8,1634,79986,[],0,0,0
20260510,oasg_adaptive_from_strong,14,longrun_eval,safe_expression_burst,8,5,6250,6,21512,3,0,0,3,8,1753,117620,[],0,0,0
20260510,oasg_adaptive_from_strong,15,longrun_eval,recovery,8,4,5000,8,16608,4,0,0,4,8,1535,70761,[],0,0,0
20260510,oasg_adaptive_from_strong,16,longrun_eval,schema_drift,8,4,5000,8,26230,4,0,0,4,8,1973,162606,[],0,0,0
